Subject,Course Number,Course Name
MCB,MCB543,Interdisciplinary Approaches to Neuroscience II
ECE,ECE493,Advanced Engineering Math
EOL,EOL588,Capstone Experience I & II
ECON,ECON481,Govt Reg of Economic Activity
PORT,PORT199,Undergraduate Open Seminar
MDVL,MDVL571,Medieval German Studies
CLE,CLE750,Developmental Pediatrics
MUS,MUS148,Supp WW Inst: Saxophone
CMN,CMN550,Intro to Comm Grad Study
GWS,GWS459,"Gender, Sex, & Postcoloniality"
SPAN,SPAN489,Theoretical Foundations of SLA
MACS,MACS364,Topics in Media Business
NRES,NRES456,Integrative Ecosystem Management
IB,IB416,Population Genetics
AFRO,AFRO343,Criminalization and Punishment
SOC,SOC170,"Integration, Assimilation and Multiculturalism: America's Immigrant Society"
MUSC,MUSC421,Advanced Oboe
CWL,CWL562,Sem Spanish-American Lit
HORT,HORT362,Tree Fruit Production
MCB,MCB180,Human Reproduction & Society
MATH,MATH241,Calculus III
SHS,SHS520,Language Science
LA,LA446,Sustainable Planning Seminar
MACS,MACS371,Editing and Post-production for Cinema
GEOL,GEOL579,Isotope Hydrogeology
ARTD,ARTD318,Interaction Design
LER,LER240,China's Labor Relations
CLCV,CLCV250,Sports and Society in Greece and Rome
BADM,BADM531,Survey Methods in Mkt Res
BIOP,BIOP590,Individual Topics
PHIL,PHIL325,Recent European Philosophy
BUS,BUS115,Freshman Business Honors Seminar
FR,FR212,Introduction to Cultural Analysis: French Identities
ME,ME543,Applied Control System Design & Analysis
ENGL,ENGL412,Topics in Medieval Brit Lit
ATMS,ATMS405,Boundary Layer Processes
SPED,SPED488,Ethics and Professional Behavior
BIOE,BIOE502,Bioengineering Professionalism
CS,CS482,Simulation
BSE,BSE634,Clinical Neuroscience
SHS,SHS240,Intro Sound & Hearing Science
PSYC,PSYC587,Hierarchical Linear Models
CI,CI434,Teaching Secondary Math
BIOE,BIOE200,Bioengineering Career Immersion
FIN,FIN555,Financial Innovation
HIST,HIST478,"The Black Freedom Movement, 1955-Present"
CHEM,CHEM518,Topics in Inorganic Chemistry
ECE,ECE560,VLSI in DSP & Communication
LA,LA598,Master's Project
BADM,BADM353,Info Sys Analysis and Design
CHLH,CHLH206,Human Sexuality
ACE,ACE444,Financial Services & Investing Planning
GSD,GSD597,Independent Study in Game Studies & Design
RST,RST335,Leisure and Consumer Culture
THEA,THEA463,American Theatre History I
GCL,GCL187,"Morality, Methods, and Medicine: Formal and Philosophical Approaches to Health in Society"
GWS,GWS357,Literatures of the Displaced
EOL,EOL566,School District Financial Management
BIOC,BIOC460,Biochemistry Senior Seminar
LING,LING588,Sem Second Lang Learn
PHIL,PHIL424,Philosophy of Religion
BSE,BSE638,Endocrinology
PS,PS514,Founds of Organizational Behav
MUSC,MUSC455,Percussion Ensemble
SOC,SOC493,Democracy and Environment
CLCV,CLCV206,Classical Allusions in Cinema
THEA,THEA359,Professional Stage Management
LING,LING423,Language Acquisition
MATH,MATH002,Introductory Algebra
EPOL,EPOL502,Education in the 20th Century
SPAN,SPAN559,Sem Spanish Diachronic Ling
ACCY,ACCY578,Accounting Analytics Applications
MATH,MATH257,Linear Algebra with Computational Applications
MUSC,MUSC466,Oratorio Society
CWL,CWL260,Modern African American Literature and Culture
PHYS,PHYS102,College Physics: E&M & Modern
HIST,HIST463,The Modern Balkans through Literature and Film
UP,UP431,Travel Behavior Analysis
SHS,SHS555,Comm Lang Probs Hear Impaired
MUS,MUS122,German Diction
SOC,SOC223,Black Women Contemp US Society
FIN,FIN501,Financial Economics
IS,IS461,Museum Informatics
EPOL,EPOL540,Leading Learning-Centered Schools
GRK,GRK595,Intro to Classical Studies
ECON,ECON549,Environmental Economics
ENGL,ENGL591,Research in Special Topics
UP,UP481,Urban Communities & Public Pol
ETMA,ETMA464,Engine and Tractor Power
THEA,THEA276,Voice and Movement II
HDFS,HDFS590,Advanced Research Methods
CPSC,CPSC117,Agriculture and Science of Coffee
HIST,HIST445,Medieval England
PSYC,PSYC503,Categories and Concepts
ECE,ECE524,Advanced Computer Security
IS,IS340,Project Management
IB,IB447,Field Ecology
GWS,GWS258,Sex in Nature and Culture
PS,PS328,Introduction to Biology and Politics
ATMS,ATMS500,Dynamic Meteorology
CHLH,CHLH465,Social Marketing Health&Behav
FIN,FIN415,Fixed Income Portfolios
AAS,AAS315,"War, Memory, and Cinema"
PHYS,PHYS575,Particle Physics I
LA,LA390,Independent Study
MATH,MATH598,Literature Seminar in Math
EALC,EALC522,Seminar in Chinese History
KIN,KIN342,Health Behaviors and Cognition
VCM,VCM646,Lab Animal Science I
SHS,SHS552,Diag Hear Impair Infants Child
MUSC,MUSC426,Horn
JOUR,JOUR200,Introduction to Journalism
CW,CW199,Undergraduate Open Seminar
ANTH,ANTH270,Language in Culture
PS,PS541,Proseminar Comp Politics II
NUTR,NUTR417,Neuroscience of Eating & Drinking
MCB,MCB101,Intro Microbiology Laboratory
FAA,FAA230,Sustainability of the Built Environment
GLBL,GLBL240,Global Health
BADM,BADM379,Business Process Improvement
ECON,ECON482,Economics of the Digital Economy
CPSC,CPSC473,Mgmt of Field Crop Insects
MUSC,MUSC425,Advanced Trumpet
STAT,STAT431,Applied Bayesian Analysis
MUSC,MUSC457,Hip-Hop Collective
SOC,SOC321,Gender & Latina/o Migration
ENGL,ENGL256,Survey of American Lit II
BADM,BADM447,Legal Issues in Entrepreneurship
HDFS,HDFS595,Seminar
CI,CI540,Current Issues in Sci Edu
JOUR,JOUR483,Investigative Journalism
ME,ME200,Thermodynamics
HIST,HIST570,Prob in American Hist to 1830
BADM,BADM559,Enterprise IT Governance
UP,UP437,Public Transportation Planning
CI,CI566,Topics Writ Pedagogy & Design
ECON,ECON578,Large Sample Theory
SLAV,SLAV599,Thesis Research
CHLH,CHLH101,Introduction to Public Health
VM,VM622,Research Project I
ACCY,ACCY515,Auditing & Assurance Standards
GRK,GRK401,Homeric Greek
GWS,GWS409,Women's Health
MUS,MUS562,Percussion Instruments Lit
MUS,MUS314,The History of Music II
REL,REL479,20th Century US Culture Wars
MACS,MACS504,Theories of Cinema
FR,FR205,French in Conversation
INFO,INFO597,Individual Study
ATMS,ATMS514,Dynamics of Convective Clouds and Storms
FIN,FIN558,Data Science and Python for Finance
REL,REL447,Modern Catholic Thought
AFST,AFST418,Topics Lingala Lang & Lit II
QUEC,QUEC420,Intermediate Quechua I
ETMA,ETMA232,Materials and Construction Sys
EPOL,EPOL420,Global Migration and Education
BCOG,BCOG301,Intelligence and the Brain
SOCW,SOCW575,Social Work Teaching Seminar
UP,UP407,State and Local Public Finance
IS,IS595,Advanced Topics in Organization & Representation
ARTD,ARTD506,Industrial Design VI: Thesis Project Implementation
CHEM,CHEM482,Polymer Physics
REES,REES493,Honors Senior Thesis
FIN,FIN577,International Environmental Policy
ARCH,ARCH550,Design of Steel and Reinforced Concrete Structures II
ME,ME432,Fundamentals of Photovoltaics
ENGL,ENGL209,British Lit to 1800
HIST,HIST422,Soc-Econ Hist Modern China
FSHN,FSHN292,Hospitality Management: Professional Issues
CLE,CLE745,Oral & Maxillofacial Surgery II
HIST,HIST511,Seminar in African History
FIN,FIN559,Advanced Data Science and Python for Finance
SWAH,SWAH199,Undergraduate Open Seminar
GER,GER212,Conversation and Writing II
NS,NS307,Navigation/Naval Operations II
CEE,CEE540,Remediation Design
ART,ART199,Undergraduate Open Seminar
CI,CI542,Science Education and the Philosophy of Science
ALEC,ALEC295,Independent Study or Research
ESE,ESE311,Environmental Issues Today
RUSS,RUSS322,Dostoevsky
MSE,MSE466,Materials in Electrochem Syst
PSYC,PSYC524,Dev Psycholinguistics
ETMA,ETMA233,Metallurgy & Welding Processes
BASQ,BASQ401,Beginners' Basque
DANC,DANC532,Digital Media for Dancers
PS,PS506,Pol Parties and Elections
NRES,NRES407,Wildlife Population Ecology
LAT,LAT580,Latin Seminar
CEE,CEE451,Environmental Fluid Mechanics
MUS,MUS106,Beginning Composition
THEA,THEA125,Graphic Skills
EPS,EPS516,Social Theories and Education
BADM,BADM584,Global Marketing
MATH,MATH390,Individual Study
EPSY,EPSY203,Social Issues Group Dialogues
ACCY,ACCY302,Decision Making for Atg
ACCY,ACCY304,Accounting Control Systems
HIST,HIST521,Research Seminar: China
SOCW,SOCW375,Social Enterprise Lab
YDSH,YDSH220,Jewish Storytelling
MSE,MSE552,Mass and Ion Transport in Polymers
THEA,THEA431,The Lighting Laboratory
JS,JS120,A History of Judaism
PS,PS370,Justice in the Law
NRES,NRES242,Nature and American Culture
ME,ME445,Introduction to Robotics
LCTL,LCTL202,Intermediate Course in a Less Commonly Taught Language II
KIN,KIN369,Coaching Strategies
EOL,EOL584,Administration in Higher Education
DANC,DANC499,BFA Thesis Project
LA,LA281,Design Communications II
CWL,CWL457,Russian Modernism
DANC,DANC466,Advanced Ballet Tech Core
NUTR,NUTR428,Community Nutrition
FIN,FIN521,Advanced Corporate Finance
MUSC,MUSC102,Harpsichord
ARTD,ARTD448,Professional Design Practice
CWL,CWL205,Islam & West Through Lit
HORT,HORT199,Special Topics
ADV,ADV392,Advertising Immersion
ACE,ACE499,Seminar
DANC,DANC310,Dancing Techniques/Dance Majors:
GCL,GCL210,"Frameworks for Sustainability, Energy, & the Environment"
ATMS,ATMS571,Professional Development
FSHN,FSHN480,Basic Toxicology
GLBL,GLBL296,Global St Foundation Seminar
CHEM,CHEM538,Topics in Organic Chemistry
NPRE,NPRE397,Independent Study
EALC,EALC420,China Under the Qing Dynasty
LA,LA490,Independent Study II
NPRE,NPRE498,Special Topics
LER,LER199,Undergraduate Open Seminar
CHBE,CHBE571,Bioinformatics
PSYC,PSYC531,Psych Measurement in Indus
KIN,KIN365,Civic Engagement in Wellness
MUS,MUS421,The Music of America
VCM,VCM581,Emergency Diagnostic Imaging
ANTH,ANTH361,Ecology and Human Health
TAM,TAM428,Mechanics of Composites
GGIS,GGIS520,Political Ecology
UP,UP580,Advanced Planning Theory
GEOG,GEOG575,Alluvial Boundary Layer Dynam
MDIA,MDIA577,Philosophy of Technology
MUS,MUS205,Computation and Music II
MCB,MCB493,Special Topics Mol Cell Biol
PS,PS581,International War
PSYC,PSYC514,Seminar in Cognitive Science
PSYC,PSYC383,Adv Prac in Mental Hlth I
VCM,VCM645,Equine Surgery Laboratory
CMN,CMN212,Intro to Organizational Comm
CI,CI560,Trends & Issues in Language Arts
ART,ART160,The Image World: Photography for Non-Majors
SOC,SOC479,Law and Society
RST,RST582,Community In American Society
CPSC,CPSC393,Off-Campus Crop Sci Internship
MCB,MCB533,Repro Physiology Lab Methods
TSM,TSM293,Off-Campus Internship
UP,UP486,Planning with Climate Change
CW,CW404,Advanced Narrative Writing
AFRO,AFRO341,Gov & Pol in Africa
EOL,EOL560,Clinical Experience Administration
IS,IS446,Fantasy Literature and Media for Youth
ADV,ADV360,Innovations in Advertising
IE,IE398,Special Topics
PSYC,PSYC526,Adv Psycholinguistics
HIST,HIST171,US Hist to 1877
CLE,CLE686,Neurology Sub-Internship
CLCV,CLCV100,Vocab Building-GRK & LAT Roots
HIST,HIST561,Research Seminar: Russia
BIOE,BIOE100,Bioengineering Seminar
ECE,ECE424,Computer Security II
EURO,EURO199,Undergraduate Open Seminar
PATH,PATH546,Vet Diagnostic Path 2
GER,GER575,20thC German Studies
ANTH,ANTH565,Race and Cultural Critique
ENGL,ENGL325,Topics in LGBT Literature and Film
SOC,SOC589,Psych Scaling Multidimen Meth
SPED,SPED317,Characteristics & Eligibility
ARCH,ARCH409,Studies in Spanish Architecture
ACE,ACE199,Undergraduate Open Seminar
AFST,AFST410,Modern African Fiction
LER,LER480,US Work Class Hist Since 1780
PHYS,PHYS371,Project Design and Execution in a Physics Context
HRD,HRD402,Business Principles for HRD
EOL,EOL568,"Diversity, Leadership & Policy"
ANTH,ANTH271,Language in Culture-ACP
AAS,AAS291,Hinduism in the United States
SCAN,SCAN505,Old Norse-Icelandic I
HUM,HUM199,Undergraduate Open Seminar
CWL,CWL470,Scandinavian Politics and Society
GER,GER584,Theories in Second Language Acquisition
MSE,MSE474,Biomaterials and Nanomedicine
CI,CI403,Teaching a Diverse High School Student Population
REL,REL231,Religion and Philosophy
PS,PS582,Intl Political Economy
CHEM,CHEM233,Elementary Organic Chem Lab I
ABE,ABE452,Engineering for Disaster Resilience
DANC,DANC260,Dancing Techniques II
ESE,ESE386,Arctic Environmt & Society
EPSY,EPSY403,Research Methods in Learning Sciences
ABE,ABE459,Drainage and Water Management
ESL,ESL112,Intro to Academic Writing II
DANC,DANC541,Contemporary Directions I
FR,FR559,Sem Romance Ling
ETMA,ETMA598,Special Topics
SPED,SPED566,Leadership in ECSE
IS,IS368,Youth Community Engagement
RST,RST199,Undergraduate Open Seminar
EPOL,EPOL531,"Diversity, Leadership & Policy"
ACE,ACE295,Independent Study
ARTS,ARTS412,Ceramics
NRES,NRES298,Undergraduate Seminar
PSYC,PSYC530,Found of Ind Org Psych
ABE,ABE455,Erosion and Sediment Control
CS,CS576,Topics in Automated Deduction
MSE,MSE307,Materials Laboratory I
MUSC,MUSC536,Graduate Jazz DoublBass
GER,GER211,Conversation and Writing I
CWL,CWL552,Studies French & Comp Cinema
FIN,FIN547,Real Estate Development
UP,UP510,Plan Making
PS,PS372,Modern Political Theory
ECE,ECE407,Cryptography
BADM,BADM547,Strategy Process Research
ACE,ACE435,Global Agribusiness Management
ATMS,ATMS202,General Physical Climate
REL,REL110,World Religions
IS,IS560,Social Science Research in Library and Information Science
AFRO,AFRO453,Plantation Soc in Americas
LAW,LAW648,Corporate Taxation
GCL,GCL185,"Health, Wellness, and the Black Experience"
CEE,CEE412,High-Speed Rail Engineering
LING,LING418,Language & Minorities in Europe
MATH,MATH588,Optimization in Networks
IS,IS588,Research Design in Library and Information Science
THEA,THEA220,Survey of Theatrical Design
HIST,HIST493,Honors Senior Thesis
BSE,BSE613,Population Health
SOC,SOC322,"Gender, Relationshps & Society"
CHEM,CHEM332,Elementary Organic Chem II
ACE,ACE599,Thesis Research
ARTH,ARTH360,Women and the Visual Arts
ENGL,ENGL360,Environmental Writing
MCB,MCB532,Advanced Microbial Physiology
MUSC,MUSC140,Jazz Woodwinds
VCM,VCM693,Comparative Anatomy - Zoo
ANSC,ANSC431,Advanced Reproductive Biology
LEAD,LEAD310,Prof Dev in Leadership Ed
GEOL,GEOL493,Honors Senior Thesis
SE,SE199,Undergraduate Open Seminar
EPOL,EPOL579,Adult and Professional Education
CS,CS442,Trustworthy Machine Learning
HIST,HIST292,Latina/o Social Movements
EPS,EPS518,Philosophical Issues in Technology and Education
ANSC,ANSC331,Biology of Reproduction
CEE,CEE442,"Environmental Engineering Principles, Physical"
RUSS,RUSS323,Tolstoy
CI,CI592,Ed.D. Proseminar
CWL,CWL395,Special Topics Comp Lit I
AFST,AFST210,Introduction to Modern African Literature
SPAN,SPAN557,Sem Romance Ling
IE,IE547,Healthcare Operations and Systems
CMN,CMN340,Visual Politics
IB,IB492,Science Communication Skills
AE,AE451,Aeroelasticity
SOC,SOC387,"Race, Gender and the Body"
HDFS,HDFS450,Practicum in HDFS
EPS,EPS508,Uses/Abuses of Educ Research
SOC,SOC590,Individual Topics in Sociology
EOL,EOL590,Advanced Seminar
MUSC,MUSC405,Voice
MUS,MUS430,Applied Music Pedagogy
PHYS,PHYS554,Nonequilibrium Stat Mechanics
ECE,ECE531,Theory of Guided Waves
IB,IB104,Animal Biology
MACS,MACS199,Undergraduate Open Seminar
ART,ART151,Black & White Film Photography
CI,CI474,Multiliteracies with Diverse Students
MUSC,MUSC436,Advanced Jazz Bass
ARTE,ARTE480,Popular Visual Culture
IS,IS403,Literature and Resources for Children
VCM,VCM696,Fish Medicine and Surgery
ECE,ECE584,Embedded System Verification
DANC,DANC121,Tap Dance II
HRD,HRD490,Issues and Developments in Human Resource Development
SE,SE420,Digital Control Systems
HIST,HIST527,Seminar in Japanese History
BADM,BADM534,Marketing Theory and Systems
REL,REL390,Independent Study
UP,UP204,Chicago: Planning & Urban Life
NPRE,NPRE442,Radioactive Waste Management
CLE,CLE635,COVID Clinical Clerkship Make-Up
VCM,VCM650,Clinical Sm Animal Dentistry
BSE,BSE611,Orientation
BADM,BADM275,Fundamentals of Operations Management
ANTH,ANTH543,Seminar in Primate Ecology
BADM,BADM535,Global Business
TSM,TSM372,Environ Control & HVAC Systems
ECON,ECON455,Economics of Poverty Alleviation in Developing Countries
CLE,CLE655,Psychiatry Clerkship
THEA,THEA408,AEA Union Stage Management
LER,LER320,"Gender, Race, Class and Work"
TAM,TAM557,Mechanics of Random Media
EALC,EALC531,Seminar in Japanese Lit
CWL,CWL191,Freshman Honors Tutorial
SPAN,SPAN307,Bilingualism
AFST,AFST252,Elementary Zulu II
EDPR,EDPR550,School and Community Experience
HIST,HIST389,Race and Revolutions
THEA,THEA454,Sound Design I
ACCY,ACCY569,Data Driven Decisions in Accounting
SOCW,SOCW225,Social Work Statistics
FR,FR421,Text and Style
NPRE,NPRE330,Materials in Nuclear Engineering
THEA,THEA473,Acting Studio III: Movement
ME,ME510,Advanced Gas Dynamics
IS,IS389,Independent Study
ASTR,ASTR596,Seminar in Special Topics
MSE,MSE458,Polymer Physics
GGIS,GGIS482,Challenges of Sustainability
DANC,DANC150,The Green Room
ENGL,ENGL504,Theories of Cinema
REES,REES201,Introduction to Eastern Europe
LAST,LAST395,Special Topics
ARAB,ARAB202,Elementary Standard Arabic II
MUS,MUS559,Organ Literature
FSHN,FSHN441,Services Management
NEUR,NEUR599,Thesis Research
BADM,BADM395,Senior Research II
PS,PS240,Intro to Comp Politics
ANTH,ANTH481,Andean Ethnography
ARCH,ARCH553,Adv Reinforced Concrete Design
PHIL,PHIL106,Ethics and Social Policy
MUS,MUS274,Athletic Bands
THEA,THEA121,Theatre Foundations: Performance
LEAD,LEAD320,Training Needs Assessment
EPS,EPS545,Sexualities and Education
BADM,BADM336,Modeling the Supply Chain
MACS,MACS273,"American Cinema, 1950-2000"
NEUR,NEUR454,Neuroimmunology
MUS,MUS412,Composer Studies in Musicology
BUS,BUS101,Professional Responsibility and Business
REHB,REHB583,Counseling Internship
ARTS,ARTS450,Advanced Studio I
FR,FR443,Studies in French
ARCH,ARCH403,Special Topics in Architectural History
MUS,MUS504,Grad. Jazz Improv. I
SOC,SOC366,Postsocialism Eastern Europe
BCS,BCS102,First Year Bosnian-Croatian-Serbian II
IS,IS514,Applied Business Research
EALC,EALC130,The Chinese Language
LLS,LLS360,Contemporary US Latina/o Lit
DANC,DANC350,Teaching Dance
GLBL,GLBL403,Women in Muslim Societies
LER,LER559,Micro Research Methods
MBA,MBA505,Topics in Management
RST,RST430,Sport & Development
FSHN,FSHN422,Genetics and Epigenetics in Nutrition
ANTH,ANTH263,"Body, Personhood, and Culture"
THEA,THEA242,Introduction to Costume Production
JOUR,JOUR430,Augmented and Virtual Reality
IE,IE525,Stochastic Calculus & Numerical Models in Finance
ANSC,ANSC470,Companion Animal Cruelty Investigations
ANSC,ANSC293,Internship Off Campus
ITAL,ITAL588,Sem Second Lang Learn
BSE,BSE702,Medical Spanish
IB,IB507,Statistical Genomics
SPAN,SPAN101,Elementary Spanish I
CPSC,CPSC444,Introduction to Spatial Analytics
ME,ME471,Finite Element Analysis
MUS,MUS256,Brass Ensemble
HIST,HIST439,The Ottoman Empire
ENGL,ENGL426,Early 18th Century Literature
MBA,MBA597,Program Foundations
TSM,TSM199,Undergraduate Open Seminar
CPSC,CPSC428,Weed Science Practicum
MUS,MUS448,Computer Music
MBA,MBA500,Issues in Business
SHS,SHS533,Approaches to Language Diagnostics and Clinical Reasoning
ME,ME562,Robust Adaptive Control
ENGL,ENGL110,Intro Lit Study for Non-Majors
PS,PS411,Campaigning to Win
HDFS,HDFS314,Introduction to Aging
UP,UP494,Special Topics in Planning
POL,POL201,Second Yr Polish I
MDVL,MDVL407,Introduction to Old English
EPOL,EPOL510,Foundations of Aesthetic Education
ASTR,ASTR504,Theoretical Stellar Physics
ATMS,ATMS315,Meteorological Instrumentation
CEE,CEE446,Air Quality Engineering
CI,CI443,Mathematics in Early Childhood Education
CEE,CEE490,Computer Methods
BADM,BADM591,Proseminar in Business Admin
MUSC,MUSC469,LTI Main Stage
GCL,GCL125,Health and Wellness in Life Sciences
AGCM,AGCM396,Honors Research or Thesis
PHIL,PHIL444,Topics in Recent European Phil
MUS,MUS564,Choral Conducting Project
HIST,HIST597,Reading Course
THEA,THEA479,Preparation for Auditions
GEOG,GEOG594,Seminar in Social Geography
LAT,LAT531,Special Disciplines
CW,CW243,"The Craft Essay: Creative Reading, Reflection, and Revision"
MACS,MACS326,"New Media, Culture & Society"
ACE,ACE449,Retirement & Benefit Planning
MUS,MUS101,Music Theory and Practice I
WLOF,WLOF201,Elementary Wolof I
CW,CW106,Poetry Workshop I
EALC,EALC308,Chinese Popular Literature
THEA,THEA480,Upholstery Techniques
MUSC,MUSC495,Jazz Trombone Ensemble
EPSY,EPSY599,Thesis Research
PS,PS458,Forced Migration and Refugees
ANTH,ANTH180,The Archaeology of Death
FR,FR486,Commercial & Econ French II
ANTH,ANTH409,Human Evolutionary Anatomy Lab
LLS,LLS235,Race and the Politics of Reproduction
EOL,EOL570,Organization of Higher Ed
ENGL,ENGL273,"American Cinema, 1950-2000"
ACCY,ACCY555,Income Tax Accounting
AGCM,AGCM330,Environmental Communications
CMN,CMN328,Social Media and Politics
FIN,FIN570,Corporate Finance
PHYS,PHYS436,Electromagnetic Fields II
CWL,CWL417,Topics in Medieval Brit Lit
RST,RST100,"Recreation, Sport, and Tourism in Modern Society"
ANTH,ANTH505,Global Modernities
MATH,MATH103,Theory of Arithmetic
ANSC,ANSC520,Protein and Energy Nutrition
ANTH,ANTH375,The Culture of Nature
MUS,MUS440,Marching Band Procedures
CHEM,CHEM444,Physical Chemistry II
CEE,CEE492,Data Science for Civil and Environmental Engineering
MACS,MACS494,German Cinema II
NRES,NRES439,Env and Sustainable Dev
KOR,KOR204,Intermediate Korean II
RMLG,RMLG199,Undergraduate Open Seminar
CHEM,CHEM548,Molecular Electronic Structure
SHS,SHS558,Tinnitus
CPSC,CPSC545,Statistical Genomics
ANSC,ANSC313,Horse Appraisal
LLS,LLS458,Latina/o Performance
SOC,SOC280,Intro to Social Statistics
FIN,FIN573,Competition Policy
ITAL,ITAL413,Dante
PSYC,PSYC577,Clinical/Community:Cog/Affect
THEA,THEA211,Introduction to Playwriting
IS,IS575,Metadata in Theory & Practice
PHIL,PHIL103,Logic and Reasoning QR II
ARTS,ARTS320,Fashion and Textiles Design
BIOL,BIOL599,Thesis Research
GLBL,GLBL495,Research Methods II
ESE,ESE486,Environmental Consulting
HNDI,HNDI403,Intermediate Hindi I
RST,RST216,"Technology in Recreation, Sport and Tourism"
LLS,LLS278,Mapping Latina/o Inequalities
LER,LER225,Labor Issues in Sports
MUS,MUS557,Piano Literature
MACS,MACS361,Film Theory and Criticism
FAA,FAA230,Sustainable Design of the Built Environment
CHLH,CHLH400,Human-Robot Interaction in Community Health
UP,UP136,Urban Sustainability
ACE,ACE210,Environmental Economics
LING,LING406,Introduction to Computational Linguistics
LAW,LAW656,International Law
BSE,BSE636,Digestion
IS,IS423,Early Literacy
ACCY,ACCY303,Accounting Institutions and Regulation
CI,CI468,Children's Literature for Early Childhood Education
GWS,GWS590,Topics in GWS
ENGL,ENGL486,History of Translation
MUS,MUS343,Music in Adolescence
ECE,ECE345,Design and Innovation
CPSC,CPSC558,Quantitative Plant Breeding
TRST,TRST543,Advanced Interpreting Practice and Research
GEOL,GEOL407,Foundations of CyberGIS & Geospatial Data Science
LING,LING502,Phonology I
EPSY,EPSY413,Intelligence Assessment and Theory
DANC,DANC270,Dancing in Community I & II
ARTS,ARTS231,Jewelry/Metals II
CEE,CEE417,Urban Transportation Planning
AFRO,AFRO595,Directed Independent Readings
IS,IS584,Advanced Topics in Ethics and Privacy
THEA,THEA417,Leading Post-Perform Dialog
EPSY,EPSY236,Child Dev in Education
FIN,FIN575,Business Tax Policy
GEOG,GEOG204,Cities of the World
ECE,ECE548,Models of Cognitive Processes
ADV,ADV490,Advanced Special Topics in Advertising
BUS,BUS120,Business Honors Seminar
ECE,ECE554,Dynamic System Reliability
STAT,STAT525,Computational Statistics
ME,ME504,Multiphase Systems & Processes
IB,IB271,Organismal Biology
BCS,BCS101,First Year Bosnian-Croatian-Serbian I
LING,LING547,Formal Semantics II
CHEM,CHEM472,Physical Biochemistry
AGED,AGED500,Special Topics in Ag Education
HRD,HRD492,Supervised Internship in HRE
LA,LA597,Research Design & Methods
ANTH,ANTH540,Seminar in Bioanthropology
EIL,EIL580,Classroom Language Acquisition
ACES,ACES299,ACES Study Abroad
CPSC,CPSC213,Evolution in Action
IS,IS304,Advanced Research Design
MCB,MCB247,Human Anat & Physiol Lab II
AGED,AGED511,Grad Professional Dev in Ag Ed
ARAB,ARAB406,Advanced Standard Arabic II
MSE,MSE406,Thermal-Mech Behavior of Matls
CI,CI585,Informational Children's Lit
MIP,MIP595,Seminars in Physiology
