Subject,Course Number,Course Name
CS,CS 100,Computer Science Orientation
CS,CS 101,Intro Computing: Engrg & Sci
CS,CS 102,Little Bits to Big Ideas
CS,CS 105,Intro Computing: Non-Tech
CS,CS 107,Data Science Discovery
CS,CS 125,Introduction to Computer Science
CS,CS 126,Software Design Studio
CS,CS 173,Discrete Structures
CS,CS 196,First-Year Student Honors
CS,CS 199,Undergraduate Open Seminar in Computer Science
CS,CS 210,Ethical & Professional Issues
CS,CS 225,Data Structures
CS,CS 233,Computer Architecture
CS,CS 240,Introduction to Computer Systems
CS,CS 241,System Programming
CS,CS 242,Programming Studio
CS,CS 296,Honors Course
CS,CS 357,Numerical Methods I
CS,CS 361,Probability & Statistics for Computer Science
CS,CS 374,Introduction to Algorithms & Models of Computation
CS,CS 397,Individual Study
CS,CS 398,Special Topics
CS,CS 410,Text Information Systems
CS,CS 411,Database Systems
CS,CS 412,Introduction to Data Mining
CS,CS 413,Intro to Combinatorics
CS,CS 414,Multimedia Systems
CS,CS 418,Interactive Computer Graphics
CS,CS 419,Production Computer Graphics
CS,CS 420,Parallel Progrmg: Sci & Engrg
CS,CS 421,Programming Languages & Compilers
CS,CS 422,Programming Language Design
CS,CS 423,Operating Systems Design
CS,CS 424,Real-Time Systems
CS,CS 425,Distributed Systems
CS,CS 426,Compiler Construction
CS,CS 427,Software Engineering I
CS,CS 428,Software Engineering II
CS,CS 429,"Software Engineering II, ACP"
CS,CS 431,Embedded Systems
CS,CS 433,Computer System Organization
CS,CS 436,Computer Networking Laboratory
CS,CS 438,Communication Networks
CS,CS 439,Wireless Networks
CS,CS 440,Artificial Intelligence
CS,CS 445,Computational Photography
CS,CS 446,Machine Learning
CS,CS 447,Natural Language Processing
CS,CS 450,Numerical Analysis
CS,CS 457,Numerical Methods II
CS,CS 460,Security Laboratory
CS,CS 461,Computer Security I
CS,CS 463,Computer Security II
CS,CS 465,User Interface Design
CS,CS 466,Introduction to Bioinformatics
CS,CS 467,Social Visualization
CS,CS 468,Tech and Advertising Campaigns
CS,CS 473,Algorithms
CS,CS 475,Formal Models of Computation
CS,CS 476,Program Verification
CS,CS 477,Formal Software Development Methods
CS,CS 481,Advanced Topics in Stochastic Processes & Applications
CS,CS 482,Simulation
CS,CS 483,Applied Parallel Programming
CS,CS 484,Parallel Programming
CS,CS 491,Seminar
CS,CS 492,Senior Project I
CS,CS 493,"Senior Project II, ACP"
CS,CS 494,Senior Project II
CS,CS 497,CS Team Project
CS,CS 498,Special Topics
CS,CS 499,Senior Thesis
CS,CS 508,Manycore Parallel Algorithms
CS,CS 510,Advanced Information Retrieval
CS,CS 511,Advanced Data Management
CS,CS 512,Data Mining Principles
CS,CS 513,Theory & Practice of Data Cleaning
CS,CS 519,Scientific Visualization
CS,CS 522,Programming Language Semantics
CS,CS 523,Advanced Operating Systems
CS,CS 524,Concurrent Progrmg Languages
CS,CS 525,Advanced Distributed Systems
CS,CS 526,Advanced Compiler Construction
CS,CS 527,Topics in Software Engineering
CS,CS 528,Obj-Oriented Progrmg & Design
